draw_idx,number,freq_short,freq_medium,freq_long,freq_all,freq_trend,gap_since_last,recency_weighted,pair_score,triplet_score,adjacent_flag,is_odd,is_low,target
152,2,2,6,11,28,-0.01999999999999999,4,3.511232692623924,5,0,0,0,1,0
152,3,1,3,9,28,-0.07999999999999999,4,2.0381602087003023,6,0,0,1,1,0
152,4,3,5,13,37,0.03999999999999998,3,3.8638192683769508,8,0,1,0,1,0
152,5,1,3,9,27,-0.07999999999999999,1,2.259839226543912,7,0,0,1,1,0
152,6,0,1,6,22,-0.12,17,0.8562308994329827,6,0,1,0,1,0
152,7,3,5,10,36,0.09999999999999998,2,3.938814166800564,7,0,0,1,0,1
152,8,2,4,11,29,-0.01999999999999999,2,3.31252171614137,4,0,0,0,0,0
152,9,2,4,10,37,0.0,6,3.055942264082463,12,0,1,1,0,0
152,10,3,5,13,38,0.03999999999999998,1,3.8201349323830662,7,0,0,0,0,1
152,11,0,0,0,0,0.0,152,0.0,0,0,1,1,0,0
152,12,0,0,0,0,0.0,152,0.0,0,0,0,0,0,0
153,1,3,4,8,22,0.13999999999999999,4,2.9931358114096223,4,0,0,1,1,1
153,2,2,6,11,28,-0.01999999999999999,5,3.2760959431807395,6,0,0,0,1,0
153,3,1,3,9,28,-0.07999999999999999,5,1.9016707167549267,6,0,0,1,1,0
153,4,3,5,12,37,0.06,4,3.605070850731305,9,0,0,0,1,0
153,5,1,2,9,27,-0.07999999999999999,2,2.108504553934491,10,0,0,1,1,0
153,6,0,1,6,22,-0.12,18,0.7988916775442071,5,0,1,0,1,0
153,7,4,6,11,37,0.18000000000000002,1,4.6750435651574875,5,0,0,1,0,0
153,8,2,4,11,29,-0.01999999999999999,3,3.0906920463420215,10,0,1,0,0,0
153,9,1,4,10,37,-0.1,7,2.851294952620625,16,0,1,1,0,1
153,10,3,5,13,39,0.03999999999999998,1,4.564311924035632,5,0,0,0,0,0
153,11,0,0,0,0,0.0,153,0.0,0,0,1,1,0,0
153,12,0,0,0,0,0.0,153,0.0,0,0,0,0,0,0
154,1,4,5,9,23,0.22000000000000003,1,3.7926944601954693,3,0,0,1,1,0
154,2,1,5,11,28,-0.12,6,3.056705598427524,9,0,1,0,1,0
